Altium Designer Pick and Place Locations
C:\Users\alex9\Documents\H4\Designs\H4_EtherCAT_6-Port_Module\H4_EtherCAT_6-Port_Module\Outputs\REV1.2\Pick Place\Pick Place for H4_6-port_EtherCAT_Junction_Module(Rev1.2).csv

========================================================================================================================
File Design Information:

Date:       06-03-24
Time:       20:16
Revision:   fb0401d9011f0438844b06f734d2d52a6a53d859
Variant:    Rev1.2
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R274","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2511.811","1484.252","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R269","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2511.811","1574.803","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R271","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2511.811","1544.619","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R254","CRCW04021M50JNED","BottomLayer","0402","287.402","2094.488","0","RES SMD 1.5M OHM 5% 1/16W 0402"
"R255","CRCW04021M50JNED","BottomLayer","0402","216.535","2094.488","180","RES SMD 1.5M OHM 5% 1/16W 0402"
"R251","CRCW0402470RJNED","BottomLayer","0402","314.961","2267.717","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R252","CRCW0402470RJNED","BottomLayer","0402","314.961","2307.087","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R33","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","1066.929","1933.071","90","RES SMD 4.75K OHM 1% 1/16W 0402"
"R102","RCS04020000Z0ED","TopLayer","0402","1208.661","1169.291","270","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R278","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","452.756","1322.835","180","RES SMD 75 OHM 1% 1/16W 0402"
"R270","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","452.756","1570.866","180","RES SMD 75 OHM 1% 1/16W 0402"
"R7","CRGCQ0402F100R","TopLayer","0402","1279.527","2145.669","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R14","CRGCQ0402F100R","TopLayer","0402","910.177","2094.488","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R9","CRGCQ0402F100R","TopLayer","0402","910.177","2141.732","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R3","CRGCQ0402F100R","TopLayer","0402","910.177","2220.472","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R13","CRCW04022K20JNED","TopLayer","0402","1279.527","2094.488","0","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R19","CRCW04022K20JNED","TopLayer","0402","1279.528","2043.307","0","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R90","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1216.535","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R77","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1350.394","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R71","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1543.307","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R63","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1677.165","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R285","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","1192.913","1196.850","90","RES SMD 10K OHM 1% 1/16W 0402"
"R266","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","1177.165","1763.780","90","RES SMD 10K OHM 1% 1/16W 0402"
"R277","RCS04020000Z0ED","BottomLayer","0402","629.921","1322.835","0","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R272","RC0402FR-0712K1L","BottomLayer","RESC1005X06N(0402)","1066.929","1535.433","180","RES SMD 12.1K OHM 1% 1/16W 0402"
"R262","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","1858.268","180","RES SMD 75 OHM 1% 1/16W 0402"
"R253","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","2106.299","180","RES SMD 75 OHM 1% 1/16W 0402"
"R53","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1744.094","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R42","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1881.890","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R21","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","2070.866","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R4","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","2208.661","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R261","RCS04020000Z0ED","BottomLayer","0402","614.173","1858.268","0","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R222","RCS04020000Z0ED","TopLayer","0402","1842.520","98.425","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R148","RCS04020000Z0ED","TopLayer","0402","1507.503","835.034","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R234","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2216.535","98.425","90","RES SMD 10K OHM 1% 1/16W 0402"
"R157","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1137.795","834.646","90","RES SMD 10K OHM 1% 1/16W 0402"
"R194","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1755.906","362.205","0","RES SMD 10K OHM 1% 1/16W 0402"
"R182","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1578.740","578.740","0","RES SMD 10K OHM 1% 1/16W 0402"
"R204","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2433.071","263.779","90","RES SMD 10K OHM 1% 1/16W 0402"
"R171","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","905.512","740.158","90","RES SMD 10K OHM 1% 1/16W 0402"
"R165","CRGP0402F22R","TopLayer","0402","1862.205","795.276","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R145","CRGP0402F22R","TopLayer","0402","1862.205","874.016","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R178","CRGP0402F22R","TopLayer","0402","1712.011","629.628","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R185","CRGP0402F22R","TopLayer","0402","1711.326","559.919","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R188","CRGP0402F22R","TopLayer","0402","1712.011","491.832","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R189","CRGP0402F22R","TopLayer","0402","1645.669","460.630","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R192","CRGP0402F22R","TopLayer","0402","1644.984","389.764","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R199","CRGP0402F22R","TopLayer","0402","1644.984","318.898","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R218","CRGP0402F22R","TopLayer","0402","1464.567","157.480","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R244","CRGP0402F22R","TopLayer","0402","1464.567","86.614","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R203","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2401.575","263.779","270","RES SMD 10K OHM 1% 1/16W 0402"
"R172","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","937.008","740.158","90","RES SMD 10K OHM 1% 1/16W 0402"
"R155","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1031.496","834.646","90","RES SMD 10K OHM 1% 1/16W 0402"
"R236","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2279.528","98.425","270","RES SMD 10K OHM 1% 1/16W 0402"
"R25","RCS04020000Z0ED","TopLayer","0402","1499.362","1930.847","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R91","RCS04020000Z0ED","TopLayer","0402","1834.646","1200.787","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R34","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1125.984","1933.071","90","RES SMD 10K OHM 1% 1/16W 0402"
"R99","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2200.787","1200.787","90","RES SMD 10K OHM 1% 1/16W 0402"
"R60","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1582.677","1677.165","0","RES SMD 10K OHM 1% 1/16W 0402"
"R73","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1744.094","1460.630","0","RES SMD 10K OHM 1% 1/16W 0402"
"R50","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","881.890","1799.213","180","RES SMD 10K OHM 1% 1/16W 0402"
"R80","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2444.882","1303.150","90","RES SMD 10K OHM 1% 1/16W 0402"
"R44","CRGP0402F22R","TopLayer","0402","1866.142","1885.827","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R24","CRGP0402F22R","TopLayer","0402","1866.142","1956.693","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R57","CRGP0402F22R","TopLayer","0402","1708.661","1728.347","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R62","CRGP0402F22R","TopLayer","0402","1708.661","1657.480","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R65","CRGP0402F22R","TopLayer","0402","1708.661","1586.614","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R66","CRGP0402F22R","TopLayer","0402","1641.732","1555.118","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R70","CRGP0402F22R","TopLayer","0402","1641.047","1484.252","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R76","CRGP0402F22R","TopLayer","0402","1641.732","1413.386","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R88","CRGP0402F22R","TopLayer","0402","1468.504","1255.906","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R103","CRGP0402F22R","TopLayer","0402","1468.504","1185.039","0","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R82","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2413.386","1303.150","270","RES SMD 10K OHM 1% 1/16W 0402"
"R49","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","881.890","1830.709","180","RES SMD 10K OHM 1% 1/16W 0402"
"R32","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1035.433","1933.071","90","RES SMD 10K OHM 1% 1/16W 0402"
"R101","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","2303.150","1200.787","270","RES SMD 10K OHM 1% 1/16W 0402"
"R114","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1468.504","1149.606","180","RES SMD 10K OHM 1% 1/16W 0402"
"J7","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","172.244","506.024","270","CONN HEADER GH TOP 6POS 1.25MM"
"J5","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","172.244","956.457","270","CONN HEADER GH TOP 6POS 1.25MM"
"J6","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","3193.898","547.244","90","CONN HEADER GH TOP 6POS 1.25MM"
"J3","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","172.244","1406.863","270","CONN HEADER GH TOP 6POS 1.25MM"
"J2","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","172.244","1857.283","270","CONN HEADER GH TOP 6POS 1.25MM"
"J4","BM06B-GHS-TBT","TopLayer","JST_GH_6POS_STRAI","3193.898","1287.402","90","CONN HEADER GH TOP 6POS 1.25MM"
"FB5","BKP2125HS600-T","TopLayer","FP-BKP2125-IPC_C","901.575","137.795","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB18","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","956.693","133.858","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB14","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","885.827","673.228","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB16","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","1066.929","326.772","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB4","BKP2125HS600-T","TopLayer","FP-BKP2125-IPC_C","2437.008","803.150","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB13","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2374.016","814.961","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB17","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2444.882","267.716","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB15","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2259.843","614.173","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB2","BKP2125HS600-T","TopLayer","FP-BKP2125-IPC_C","2437.008","1905.512","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB7","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2379.360","1883.395","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB11","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2437.008","1322.835","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB9","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","2275.591","1720.472","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB3","BKP2125HS600-T","TopLayer","FP-BKP2125-IPC_C","905.512","1228.347","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB12","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","956.693","1240.158","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB8","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","881.890","1767.716","0","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB10","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","1066.929","1437.008","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"D8","LTST-C195KGJRKT","TopLayer","Dual_LED","311.024","98.425","270","LED GREEN/RED CLEAR CHIP SMD"
"D7","LTST-C195KGJRKT","TopLayer","Dual_LED","3043.307","133.858","270","LED GREEN/RED CLEAR CHIP SMD"
"D6","LTST-C195KGJRKT","TopLayer","Dual_LED","3036.160","938.659","270","LED GREEN/RED CLEAR CHIP SMD"
"D1","LTST-C195KGJRKT","TopLayer","Dual_LED","311.024","2287.402","270","LED GREEN/RED CLEAR CHIP SMD"
"C79","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","185.039","240.157","270","CAP CER 0.1UF 16V X7R 0402"
"C80","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","901.575","232.284","0","CAP CER 0.1UF 16V X7R 0402"
"C84","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","901.575","192.913","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C140","CL31B475KBHNNNE","BottomLayer","CAPC3216X16N(1206)","1370.079","629.921","0","CAP CER 4.7UF 50V X7R 1206"
"C148","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1433.071","405.512","0","CAP CER 0.1UF 16V X7R 0402"
"C155","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1350.394","279.527","270","CAP CER 0.1UF 16V X7R 0402"
"C65","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1574.803","661.417","180","CAP CER 0.1UF 16V X7R 0402"
"C57","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1000.000","834.646","270","CAP CER 0.1UF 16V X7R 0402"
"C59","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1259.842","834.646","270","CAP CER 0.1UF 16V X7R 0402"
"C58","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1224.409","834.646","270","CAP CER 0.1UF 16V X7R 0402"
"C70","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1606.299","500.000","180","CAP CER 0.1UF 16V X7R 0402"
"C160","GCM1555C1H471JA16D","BottomLayer","CAPC1005X03N(0402)","1125.984","90.551","0","CAP CER 470PF 50V C0G/NP0 0402"
"C159","LMK107BJ105KA-T","BottomLayer","0603_C","1122.047","137.795","0","Multilayer Ceramic Capacitors (High dielectric type), 10V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C158","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","901.575","192.913","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C75","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","901.575","389.764","0","CAP CER 0.1UF 16V X7R 0402"
"C74","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","901.575","429.134","0","CAP CER 0.1UF 16V X7R 0402"
"C157","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","901.575","236.220","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C141","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","885.827","618.110","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C143","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","885.827","578.740","0","CAP CER 0.1UF 16V X7R 0402"
"C142","CC1206KKX7RDBB102","BottomLayer","CAPC3216X16N(1206)","535.433","574.803","180","CAP CER 1000PF 2KV X7R 1206"
"C146","GCM155R71H223KA55D","BottomLayer","CAPC1005X03N(0402)","614.173","512.795","180","CAP CER 0.022UF 50V X7R 0402"
"C81","C0402C100J5GAC7411","TopLayer","0402_C","787.402","181.102","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C77","C0402C100J5GAC7411","TopLayer","0402_C","786.716","251.969","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C72","C0402C100J5GAC7411","TopLayer","0402_C","791.339","507.874","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C67","C0402C100J5GAC7411","TopLayer","0402_C","792.024","566.929","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C48","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1094.488","1106.299","0","CAP CER 0.1UF 16V X7R 0402"
"C156","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1220.472","263.779","180","CAP CER 0.1UF 16V X7R 0402"
"C86","GRM0225C1H130GA03L","TopLayer","0402_C","1128.937","106.299","90","Cap Ceramic Monolithic 13pF 50VDC 2% SMD Emboss T/R"
"C126","CC1206KKX7RDBB102","BottomLayer","CAPC3216X16N(1206)","539.370","1106.299","180","CAP CER 1000PF 2KV X7R 1206"
"C127","GCM155R71H223KA55D","BottomLayer","CAPC1005X03N(0402)","618.110","1042.323","180","CAP CER 0.022UF 50V X7R 0402"
"C85","GRM0225C1H130GA03L","TopLayer","0402_C","983.268","106.299","270","Cap Ceramic Monolithic 13pF 50VDC 2% SMD Emboss T/R"
"C61","C0402C100J5GAC7411","TopLayer","0402_C","787.402","732.284","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C56","C0402C100J5GAC7411","TopLayer","0402_C","787.402","787.402","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C51","C0402C100J5GAC7411","TopLayer","0402_C","787.402","1047.244","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C49","C0402C100J5GAC7411","TopLayer","0402_C","787.402","1117.413","180","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C151","LMK107BJ105KA-T","BottomLayer","0603_C","1145.669","299.213","270","Multilayer Ceramic Capacitors (High dielectric type), 10V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C154","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1185.039","314.961","270","CAP CER 0.1UF 16V X7R 0402"
"C149","CL10B104KC8NNNC","BottomLayer","CAPC1608X09N(0603)","1066.929","385.827","180","CAP CER 0.1UF 100V X7R 0603"
"C83","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2901.575","212.598","0","CAP CER 0.1UF 16V X7R 0402"
"C63","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2429.134","704.724","180","CAP CER 0.1UF 16V X7R 0402"
"C60","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","2440.945","748.032","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C152","CL31B475KBHNNNE","BottomLayer","CAPC3216X16N(1206)","1952.756","311.024","180","CAP CER 4.7UF 50V X7R 1206"
"C87","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2090.551","98.425","90","CAP CER 0.1UF 16V X7R 0402"
"C82","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2334.646","216.535","180","CAP CER 0.1UF 16V X7R 0402"
"C145","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1905.512","539.370","180","CAP CER 0.1UF 16V X7R 0402"
"C138","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","1980.315","657.480","90","CAP CER 0.1UF 16V X7R 0402"
"C78","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1751.968","279.528","0","CAP CER 0.1UF 16V X7R 0402"
"C73","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1716.535","440.945","0","CAP CER 0.1UF 16V X7R 0402"
"C88","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2129.921","98.425","90","CAP CER 0.1UF 16V X7R 0402"
"C131","GCM1555C1H471JA16D","BottomLayer","CAPC1005X03N(0402)","2204.724","858.268","180","CAP CER 470PF 50V C0G/NP0 0402"
"C132","LMK107BJ105KA-T","BottomLayer","0603_C","2208.661","814.961","180","Multilayer Ceramic Capacitors (High dielectric type), 10V, 1 uF, ± 10 %, 0603, X5R, RoHS"
"C133","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","2440.945","759.842","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C69","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2420.472","515.748","180","CAP CER 0.1UF 16V X7R 0402"
"C68","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2421.260","555.118","180","CAP CER 0.1UF 16V X7R 0402"
"C135","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","2440.945","700.787","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C153","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","2444.882","322.835","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C150","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","2440.945","362.205","180","CAP CER 0.1UF 16V X7R 0402"
"C134","CC1206KKX7RDBB102","BottomLayer","CAPC3216X16N(1206)","2838.583","728.346","0","CAP CER 1000PF 2KV X7R 1206"
"C64","GCM155R71H223KA55D","BottomLayer","CAPC1005X03N(0402)","2759.843","665.354","0","CAP CER 0.022UF 50V X7R 0402"
"C89","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","2334.646","39.370","0","CAP CER 0.1UF 16V X7R 0402"
"C62","C0402C100J5GAC7411","TopLayer","0402_C","2582.106","753.642","0","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C66","C0402C100J5GAC7411","TopLayer","0402_C","2582.677","669.291","0","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C71","C0402C100J5GAC7411","TopLayer","0402_C","2591.236","413.386","0","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C76","C0402C100J5GAC7411","TopLayer","0402_C","2590.551","318.898","0","Cap Ceramic 10pF 50V C0G 5% SMD 0402 125°C Punched Paper T/R"
"C137","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","2082.677","688.976","0","CAP CER 0.1UF 16V X7R 0402"
"C54","GRM0225C1H130GA03L","TopLayer","0402_C","2196.850","826.772","270","Cap Ceramic Monolithic 13pF 50VDC 2% SMD Emboss T/R"
